Time,D1,D2
0.00,0.00,0.00
0.02,0.00,0.00
0.04,0.00,0.00
0.06,0.01,0.00
0.08,0.01,0.01
0.10,0.02,0.01
0.12,0.04,0.02
0.14,0.06,0.03
0.16,0.08,0.04
0.18,0.11,0.06
0.20,0.15,0.08
0.22,0.20,0.10
0.24,0.25,0.12
0.26,0.31,0.15
0.28,0.37,0.18
0.30,0.44,0.22
0.32,0.52,0.26
0.34,0.60,0.30
0.36,0.69,0.34
0.38,0.79,0.39
0.40,0.89,0.44
0.42,1.00,0.50
0.44,1.11,0.56
0.46,1.23,0.62
0.48,1.36,0.68
0.50,1.50,0.75
0.52,1.64,0.82
0.54,1.78,0.89
0.56,1.94,0.97
0.58,2.10,1.05
0.60,2.26,1.13
0.62,2.44,1.22
0.64,2.62,1.31
0.66,2.80,1.40
0.68,2.99,1.50
0.70,3.19,1.60
0.72,3.40,1.70
0.74,3.61,1.80
0.76,3.83,1.91
0.78,4.05,2.02
0.80,4.28,2.14
0.82,4.52,2.26
0.84,4.76,2.37
0.86,5.01,2.49
0.88,5.27,2.61
0.90,5.53,2.73
0.92,5.80,2.85
0.94,6.07,2.97
0.96,6.35,3.08
0.98,6.64,3.20
1.00,6.93,3.32
1.02,7.22,3.44
1.04,7.52,3.56
1.06,7.82,3.68
1.08,8.12,3.80
1.10,8.42,3.91
1.12,8.72,4.03
1.14,9.02,4.15
1.16,9.32,4.27
1.18,9.62,4.39
1.20,9.92,4.51
1.22,10.22,4.62
1.24,10.52,4.74
1.26,10.82,4.86
1.28,11.12,4.98
1.30,11.42,5.10
1.32,11.72,5.22
1.34,12.02,5.33
1.36,12.32,5.45
1.38,12.62,5.57
1.40,12.92,5.69
1.42,13.22,5.81
1.44,13.52,5.93
1.46,13.82,6.04
1.48,14.12,6.16
1.50,14.42,6.28
1.52,14.72,6.40
1.54,15.02,6.52
1.56,15.32,6.64
1.58,15.62,6.76
1.60,15.92,6.87
1.62,16.22,6.99
1.64,16.52,7.11
1.66,16.82,7.23
1.68,17.12,7.35
1.70,17.42,7.47
1.72,17.72,7.59
1.74,18.02,7.71
1.76,18.32,7.83
1.78,18.62,7.96
1.80,18.92,8.09
1.82,19.22,8.23
1.84,19.52,8.38
1.86,19.82,8.53
1.88,20.12,8.68
1.90,20.42,8.84
1.92,20.72,9.00
1.94,21.02,9.17
1.96,21.32,9.34
1.98,21.62,9.64
2.00,21.92,9.94
2.02,22.22,10.24
2.04,22.52,10.54
2.06,22.82,10.84
2.08,23.12,11.14
2.10,23.42,11.44
2.12,23.72,11.74
2.14,24.02,12.04
2.16,24.32,12.34
2.18,24.62,12.64
2.20,24.92,12.94
2.22,25.22,13.24
2.24,25.52,13.54
2.26,25.82,13.84
2.28,26.12,14.14
2.30,26.42,14.44
2.32,26.72,14.74
2.34,27.02,15.04
2.36,27.32,15.34
2.38,27.62,15.64
2.40,27.92,15.94
2.42,28.22,16.24
2.44,28.52,16.54
2.46,28.82,16.84
2.48,29.12,17.14
2.50,29.42,17.44
2.52,29.72,17.74
2.54,30.02,18.04
2.56,30.32,18.34
2.58,30.62,18.64
2.60,30.92,18.94
2.62,31.22,19.24
2.64,31.52,19.54
2.66,31.82,19.84
2.68,32.12,20.14
2.70,32.42,20.44
2.72,32.72,20.74
2.74,33.02,21.04
2.76,33.32,21.34
2.78,33.62,21.64
2.80,33.92,21.94
2.82,34.22,22.24
2.84,34.52,22.54
2.86,34.82,22.84
2.88,35.12,23.14
2.90,35.42,23.44
2.92,35.72,23.74
2.94,36.01,24.04
2.96,36.30,24.34
2.98,36.59,24.64
3.00,36.87,24.94
3.02,37.15,25.24
3.04,37.43,25.54
3.06,37.70,25.84
3.08,37.97,26.14
3.10,38.24,26.44
3.12,38.51,26.74
3.14,38.77,27.04
3.16,39.03,27.34
3.18,39.28,27.64
3.20,39.53,27.94
3.22,39.78,28.24
3.24,40.03,28.54
3.26,40.27,28.84
3.28,40.51,29.14
3.30,40.75,29.44
3.32,40.98,29.74
3.34,41.21,30.04
3.36,41.44,30.34
3.38,41.66,30.64
3.40,41.88,30.94
3.42,42.10,31.24
3.44,42.31,31.54
3.46,42.52,31.84
3.48,42.73,32.14
3.50,42.93,32.44
3.52,43.13,32.74
3.54,43.33,33.04
3.56,43.52,33.34
3.58,43.71,33.64
3.60,43.90,33.94
3.62,44.09,34.24
3.64,44.27,34.54
3.66,44.45,34.84
3.68,44.63,35.14
3.70,44.81,35.44
3.72,44.99,35.74
3.74,45.16,36.04
3.76,45.34,36.34
3.78,45.52,36.64
3.80,45.70,36.94
3.82,45.88,37.24
3.84,46.06,37.54
3.86,46.23,37.84
3.88,46.41,38.14
3.90,46.59,38.44
3.92,46.77,38.74
3.94,46.95,39.04
3.96,47.13,39.34
3.98,47.30,39.64
4.00,47.48,39.94
4.02,47.66,40.24
4.04,47.84,40.54
4.06,48.02,40.84
4.08,48.20,41.14
4.10,48.37,41.44
4.12,48.55,41.74
4.14,48.73,42.04
4.16,48.91,42.34
4.18,49.09,42.64
4.20,49.27,42.94
4.22,49.45,43.24
4.24,49.62,43.54
4.26,49.80,43.84
4.28,49.98,44.14
4.30,50.16,44.44
4.32,50.34,44.74
4.34,50.52,45.04
4.36,50.69,45.34
4.38,50.87,45.64
4.40,51.05,45.94
4.42,51.23,46.24
4.44,51.41,46.54
4.46,51.59,46.84
4.48,51.77,47.14
4.50,51.95,47.44
4.52,52.14,47.74
4.54,52.34,48.04
4.56,52.53,48.34
4.58,52.73,48.64
4.60,52.94,48.94
4.62,53.15,49.24
4.64,53.36,49.54
4.66,53.57,49.84
4.68,53.79,50.14
4.70,54.02,50.44
4.72,54.25,50.74
4.74,54.48,51.04
4.76,54.72,51.34
4.78,54.96,51.64
4.80,55.20,51.94
4.82,55.45,52.24
4.84,55.70,52.54
4.86,55.96,52.84
4.88,56.22,53.14
4.90,56.48,53.44
4.92,56.74,53.74
4.94,57.00,54.04
4.96,57.26,54.34
4.98,57.53,54.64
5.00,57.79,54.94
5.02,58.05,55.24
5.04,58.31,55.54
5.06,58.58,55.84
5.08,58.84,56.14
5.10,59.10,56.44
5.12,59.36,56.74
5.14,59.63,57.04
5.16,59.89,57.34
5.18,60.15,57.64
5.20,60.41,57.94
5.22,60.68,58.24
5.24,60.94,58.54
5.26,61.20,58.84
5.28,61.46,59.14
5.30,61.72,59.44
5.32,61.99,59.74
5.34,62.25,60.04
5.36,62.51,60.34
5.38,62.77,60.64
5.40,63.04,60.94
5.42,63.30,61.24
5.44,63.56,61.54
5.46,63.82,61.84
5.48,64.09,62.14
5.50,64.35,62.44
5.52,64.61,62.74
5.54,64.87,63.04
5.56,65.14,63.34
5.58,65.40,63.64
5.60,65.66,63.94
5.62,65.92,64.24
5.64,66.19,64.54
5.66,66.45,64.84
5.68,66.71,65.14
5.70,66.97,65.44
5.72,67.24,65.74
5.74,67.50,66.04
5.76,67.76,66.34
5.78,68.02,66.64
5.80,68.28,66.94
5.82,68.55,67.24
5.84,68.81,67.54
5.86,69.07,67.84
